2026-01-22 12:02:20,615 | INFO     | __main__ | Preparing data for task: binary
2026-01-22 12:02:20,615 | INFO     | src.data.loader | Dataset files validated successfully
2026-01-22 12:02:20,616 | INFO     | src.data.loader | Loading training data from dataset\UNSW_NB15_training-set.csv
2026-01-22 12:02:21,016 | INFO     | src.data.loader | Loaded 175,341 training samples with 45 columns
2026-01-22 12:02:21,016 | INFO     | src.data.loader | Training Set schema validated successfully (all required columns present).
2026-01-22 12:02:21,016 | INFO     | src.data.loader | Loading test data from dataset\UNSW_NB15_testing-set.csv
2026-01-22 12:02:21,201 | INFO     | src.data.loader | Loaded 82,332 test samples with 45 columns
2026-01-22 12:02:21,201 | INFO     | src.data.loader | Test Set schema validated successfully (all required columns present).
2026-01-22 12:02:21,201 | INFO     | src.data.preprocessing | ============================================================
2026-01-22 12:02:21,201 | INFO     | src.data.preprocessing | Starting preprocessing pipeline
2026-01-22 12:02:21,201 | INFO     | src.data.preprocessing | ============================================================
2026-01-22 12:02:21,201 | INFO     | src.data.preprocessing | Identified 39 numerical features
2026-01-22 12:02:21,201 | INFO     | src.data.preprocessing | Identified 3 categorical features
2026-01-22 12:02:21,202 | INFO     | src.data.preprocessing | Creating 80%/20% train/val split
2026-01-22 12:02:21,365 | INFO     | src.data.preprocessing | Training samples: 140,272
2026-01-22 12:02:21,365 | INFO     | src.data.preprocessing | Validation samples: 35,069
2026-01-22 12:02:21,365 | INFO     | src.data.preprocessing | Test samples: 82,332
2026-01-22 12:02:21,404 | INFO     | src.data.preprocessing | Label mapping: {np.str_('Analysis'): 0, np.str_('Backdoor'): 1, np.str_('DoS'): 2, np.str_('Exploits'): 3, np.str_('Fuzzers'): 4, np.str_('Generic'): 5, np.str_('Normal'): 6, np.str_('Reconnaissance'): 7, np.str_('Shellcode'): 8, np.str_('Worms'): 9}
2026-01-22 12:02:21,441 | INFO     | src.data.preprocessing | Fitting preprocessor on training data...
2026-01-22 12:02:22,168 | INFO     | src.data.preprocessing | Transforming validation and test data...
2026-01-22 12:02:22,368 | INFO     | src.data.preprocessing | Extracted 194 feature names
2026-01-22 12:02:22,368 | INFO     | src.data.preprocessing | ----------------------------------------
2026-01-22 12:02:22,368 | INFO     | src.data.preprocessing | Preprocessing complete!
2026-01-22 12:02:22,369 | INFO     | src.data.preprocessing | X_train shape: (140272, 194)
2026-01-22 12:02:22,369 | INFO     | src.data.preprocessing | X_val shape: (35069, 194)
2026-01-22 12:02:22,369 | INFO     | src.data.preprocessing | X_test shape: (82332, 194)
2026-01-22 12:02:22,369 | INFO     | src.data.preprocessing | Total features: 194
2026-01-22 12:02:22,413 | INFO     | src.data.preprocessing | [OK] Data leakage validation passed
2026-01-22 12:02:22,425 | INFO     | __main__ | Starting Single Experiment: Task=binary, Model=lr, Strategy=s0
2026-01-22 12:02:22,425 | INFO     | main | ============================================================
2026-01-22 12:02:22,425 | INFO     | main | EXPERIMENT: binary_lr_s0_single
2026-01-22 12:02:22,426 | INFO     | main |   Task:     binary
2026-01-22 12:02:22,426 | INFO     | main |   Model:    LR
2026-01-22 12:02:22,426 | INFO     | main |   Strategy: S0
2026-01-22 12:02:22,426 | INFO     | main | ============================================================
2026-01-22 12:02:22,426 | INFO     | src.strategies.imbalance | S0: No balancing applied. Training size: 140,272
2026-01-22 12:02:22,428 | INFO     | src.models.trainer | Training LogisticRegression on 140,272 samples...
2026-01-22 12:05:56,235 | INFO     | src.models.trainer | Training completed in 213.81s
2026-01-22 12:05:56,327 | INFO     | main | 
Results:
2026-01-22 12:05:56,327 | INFO     | main | Accuracy:    0.8070
Macro F1:    0.7926
Weighted F1: 0.7981
G-Mean:      0.7884
ROC-AUC:     0.9541
2026-01-22 12:05:56,328 | INFO     | main | Saved metrics to results\metrics\binary_lr_s0_single.json
2026-01-22 12:05:56,746 | INFO     | src.evaluation.plots | Saved confusion matrix to results\figures\cm_binary_lr_s0_single.png
2026-01-22 12:05:56,746 | INFO     | main | Completed binary_lr_s0_single in 213.90s
2026-01-22 12:05:56,746 | INFO     | main | ------------------------------------------------------------
2026-01-22 12:05:56,746 | INFO     | __main__ | Experiment Completed Successfully.
