2026-01-18 16:58:22,594 | INFO     | __main__ | ======================================================================
2026-01-18 16:58:22,594 | INFO     | __main__ | UNSW-NB15 CLASS IMBALANCE STUDY
2026-01-18 16:58:22,594 | INFO     | __main__ | ======================================================================
2026-01-18 16:58:22,595 | INFO     | __main__ | Started at: 2026-01-18T16:58:22.594992
2026-01-18 16:58:22,595 | INFO     | __main__ | 
==================================================
2026-01-18 16:58:22,596 | INFO     | __main__ | PHASE 1: DATA PREPROCESSING
2026-01-18 16:58:22,596 | INFO     | __main__ | ==================================================
2026-01-18 16:58:22,596 | INFO     | src.data.loader | Dataset files validated successfully
2026-01-18 16:58:22,596 | INFO     | src.data.loader | Loading training data from dataset\UNSW_NB15_training-set.csv
2026-01-18 16:58:23,147 | INFO     | src.data.loader | Loaded 175,341 training samples with 45 columns
2026-01-18 16:58:23,147 | INFO     | src.data.loader | Loading test data from dataset\UNSW_NB15_testing-set.csv
2026-01-18 16:58:23,357 | INFO     | src.data.loader | Loaded 82,332 test samples with 45 columns
2026-01-18 16:58:23,357 | INFO     | src.data.preprocessing | ============================================================
2026-01-18 16:58:23,357 | INFO     | src.data.preprocessing | Starting preprocessing pipeline
2026-01-18 16:58:23,357 | INFO     | src.data.preprocessing | ============================================================
2026-01-18 16:58:23,358 | INFO     | src.data.preprocessing | Identified 39 numerical features
2026-01-18 16:58:23,358 | INFO     | src.data.preprocessing | Identified 3 categorical features
2026-01-18 16:58:23,358 | INFO     | src.data.preprocessing | Creating 80%/20% train/val split
2026-01-18 16:58:23,509 | INFO     | src.data.preprocessing | Training samples: 140,272
2026-01-18 16:58:23,509 | INFO     | src.data.preprocessing | Validation samples: 35,069
2026-01-18 16:58:23,509 | INFO     | src.data.preprocessing | Test samples: 82,332
2026-01-18 16:58:23,544 | INFO     | src.data.preprocessing | Label mapping: {np.str_('Analysis'): 0, np.str_('Backdoor'): 1, np.str_('DoS'): 2, np.str_('Exploits'): 3, np.str_('Fuzzers'): 4, np.str_('Generic'): 5, np.str_('Normal'): 6, np.str_('Reconnaissance'): 7, np.str_('Shellcode'): 8, np.str_('Worms'): 9}
2026-01-18 16:58:23,581 | INFO     | src.data.preprocessing | Fitting preprocessor on training data...
2026-01-18 16:58:24,259 | INFO     | src.data.preprocessing | Transforming validation and test data...
2026-01-18 16:58:24,450 | INFO     | src.data.preprocessing | Extracted 194 feature names
2026-01-18 16:58:24,450 | INFO     | src.data.preprocessing | ----------------------------------------
2026-01-18 16:58:24,450 | INFO     | src.data.preprocessing | Preprocessing complete!
2026-01-18 16:58:24,450 | INFO     | src.data.preprocessing | X_train shape: (140272, 194)
2026-01-18 16:58:24,450 | INFO     | src.data.preprocessing | X_val shape: (35069, 194)
2026-01-18 16:58:24,450 | INFO     | src.data.preprocessing | X_test shape: (82332, 194)
2026-01-18 16:58:24,450 | INFO     | src.data.preprocessing | Total features: 194
2026-01-18 16:58:24,490 | INFO     | src.data.preprocessing | [OK] Data leakage validation passed
2026-01-18 16:58:24,499 | INFO     | src.data.preprocessing | Saved preprocessing metadata to results\processed\preprocessing_metadata.json
2026-01-18 16:58:24,500 | INFO     | __main__ | 
==================================================
2026-01-18 16:58:24,500 | INFO     | __main__ | PHASE 2: RUNNING EXPERIMENTS
2026-01-18 16:58:24,500 | INFO     | __main__ | ==================================================
2026-01-18 16:58:24,500 | INFO     | __main__ | Total experiments to run: 18
2026-01-18 16:58:24,500 | INFO     | __main__ | 
[1/18] Running binary_lr_s0
2026-01-18 16:58:24,500 | INFO     | __main__ | ============================================================
2026-01-18 16:58:24,501 | INFO     | __main__ | EXPERIMENT: binary_lr_s0
2026-01-18 16:58:24,501 | INFO     | __main__ |   Task:     binary
2026-01-18 16:58:24,501 | INFO     | __main__ |   Model:    LR
2026-01-18 16:58:24,501 | INFO     | __main__ |   Strategy: S0
2026-01-18 16:58:24,501 | INFO     | __main__ | ============================================================
2026-01-18 16:58:24,501 | INFO     | src.strategies.imbalance | S0: No balancing applied. Training size: 140,272
2026-01-18 16:58:24,503 | INFO     | src.models.trainer | Training LogisticRegression on 140,272 samples...
