epoch,train_score,val_score
1,0.9972819255907491,0.9529213835581283
2,0.998271744595274,0.9570560894237076
3,0.9983921987598459,0.9574838176166985
4,0.9984393329981566,0.9576263936810289
5,0.9984759929612871,0.9575408480424307
6,0.9984917043740573,0.958139667512618
7,0.9984917043740573,0.9578830305968234
8,0.9984917043740573,0.9576263936810289
9,0.9984917043740573,0.958139667512618
10,0.9984917043740573,0.9586814565570732
11,0.9984917043740573,0.9587670021956713
12,0.9984917043740573,0.9588525478342695
13,0.9984917043740573,0.9589095782600017
14,0.9984917043740573,0.9587384869828053
15,0.9984917043740573,0.9585673957056089
16,0.9984917043740573,0.9587384869828053
17,0.9984917043740573,0.9589951238985999
18,0.9984917043740573,0.959052154324332
19,0.9984917043740573,0.9589380934728677
20,0.9984917043740573,0.9588525478342695
21,0.9984917043740573,0.9587955174085374
22,0.9984917043740573,0.9587955174085374
23,0.9984917043740573,0.9589095782600017
24,0.9984917043740573,0.9587955174085374
25,0.9984917043740573,0.9588240326214035
26,0.9984917043740573,0.9589666086857338
27,0.9984917043740573,0.9588525478342695
28,0.9984917043740573,0.9588525478342695
29,0.9984917043740573,0.9588240326214035
30,0.9984917043740573,0.9586814565570732
